"id_rend","codigo_familia","tipo_elemento","descripcion_elemento","composicion_cuadrilla","rendimiento_m3h","rend_min","rend_max","incluye_bombeo_base","condiciones","fuente","comentario","bombeo_recomendado"
"R001","CIV-07","losa_horizontal","Losa horizontal planta baja o cubierta","1 oficial + 1 peón","0.5","0.4","0.65","No","Acceso fácil encofrado convencional","DOSMAS 2020","Rendimiento sin bombeo; añadir bombeo si h>4m","No"
"R002","CIV-07","losa_horizontal","Losa horizontal con bombeo","1 oficial + 1 peón","0.6","0.5","0.75","Sí","Con camión bomba en obra","DOSMAS 2020","Bombeo facilita y aumenta rendimiento","Sí"
"R003","CIV-07","muro_alzado","Muro alzado depósito o estructura h<=4m","1 oficial + 1 peón","0.35","0.28","0.45","No","Encofrado a dos caras convencional","DOSMAS 2020","Incluye vibrado y curado básico","Sí"
"R004","CIV-07","muro_alzado","Muro alzado con bombeo h>4m","1 oficial + 1 peón","0.42","0.35","0.55","Sí","Muro alto con acceso difícil","Referencia Cáceres 2022","Mayor rendimiento por bombeo","Sí"
"R005","CIV-07","cimentacion","Zapata aislada o corrida","1 oficial + 1 peón","0.55","0.45","0.7","No","Acceso directo sin encofrado lateral complejo","DOSMAS 2020","Cimentaciones poco complejas","No"
"R006","CIV-07","cimentacion","Losa de cimentación masiva","1 oficial + 1 peón","0.65","0.55","0.8","Sí","Gran volumen sin encofrado vertical","Referencia Bahía Palma 2023","Bombeo recomendado para losas >200m2","No"
"R007","CIV-07","pilares_columnas","Pilar o columna sección ≤0.5m2","1 oficial + 1 peón","0.25","0.18","0.35","No","Encofrado complejo sección pequeña","DOSMAS 2020","Rendimiento bajo por complejidad encofrado","Sí"
"R008","CIV-07","viga","Viga de cuelgue o cantilever","1 oficial + 1 peón","0.3","0.22","0.4","No","Encofrado en altura","DOSMAS 2020","Añadir bombeo si h>6m","No"
"R009","CIV-07","solera","Solera o losa de pavimento","1 oficial + 1 peón","0.7","0.6","0.85","No","Extendido con regla y mínimo encofrado","DOSMAS 2020","Operación más sencilla","No"
"R010","CIV-07","solera","Solera con maestras y acabado especial","1 oficial + 1 peón","0.55","0.45","0.65","No","Incluye maestras y fratasado","Referencia obras 2023","Acabado técnico","No"
"R011","CIV-07","limpieza","Hormigón de limpieza HL","1 oficial + 1 peón","0.8","0.65","1.0","No","Extendido sencillo capa 10cm","DOSMAS 2020","Alta productividad poca precisión","No"
"R012","CIV-07","arqueta_pozo","Arqueta o pozo registro","1 oficial + 1 peón","0.2","0.15","0.28","No","Encofrado curvo o complejo","DOSMAS 2020","Rendimiento bajo por geometría","No"
"R013","CIV-07","muro_contencion","Muro de contención pantalla encofrada","1 oficial + 1 peón","0.32","0.25","0.42","No","Encofrado una cara con trasdós terreno","DOSMAS 2020","Similar a muro alzado","No"
"R014","CIV-07","general_proceso","Hormigón en depósito zona sumergida XS2","1 oficial + 1 peón","0.38","0.3","0.48","Sí","Ambiente agresivo; vibrado exhaustivo requerido","Referencia Bahía Palma 2023","Clase XS2 exige mayor control","Sí"
